state/ut,urban-percentage,rural-percentage,p-value
00,13.424759674746731,4.243962545210197,0.2790102034939975
01,24.39373629939282,13.819891392898159,0.13948436751609206
02,9.653446653266565,4.546870572615183,0.1152293718293435
03,34.60902462567599,24.393583742615395,0.19837319735360037
04,30.943856500844163,15.01500465661757,0.00015585558893307493
05,3.843817904082788,1.0034313141737177,0.28322695822161364
06,6.871713663593378,3.4099870261468057,0.19439571623200386
07,8.264202742041478,1.3063129710148387,0.0025085704268678886
08,2.33013854635286,1.1835006486945954,0.11092821531908417
09,2.9617128534012864,0.8162955315248314,0.24108214560260635
10,3.571146696857701,1.3673991381290627,0.13435878314237507
11,41.168656969097135,25.85913754734693,0.1526643082072778
12,39.71307846702104,27.43112538190739,0.08545585370814666
13,40.50941737336374,21.753333484898434,0.2336673968326268
14,28.859778889749375,18.602866979284144,0.08481153326761355
15,6.09492261762139,3.4480002283821976,0.714558725052488
16,9.059621219133957,4.109658229565443,0.11051467674851494
17,25.464438659837096,5.199501231109044,0.3285278441502484
18,31.44505611177522,11.076842742095227,0.21168291273804674
19,7.620148652930351,1.067934633635984,0.3547485421734262
20,8.330164106893921,3.720611789875847,0.1458468701926638
21,30.901189321691415,9.611126638456653,0.25077776184686507
22,3.791763744650921,1.006953247204031,0.23968755553998164
23,3.464053867067808,1.0707111789615789,0.23196734902384059
24,21.515887130758134,8.737057679479829,0.4143590924380973
25,14.652914121333763,12.929664216173256,0.0006042293020221918
26,19.8374793735795,21.65754666491912,0.1403028360322771
27,26.863875836439025,9.865760769603337,0.5060772366312816
28,14.114084178875459,4.189923150298052,0.29879951654595016
29,24.481297311830097,5.466301977336935,0.40252950364679463
30,52.87390798995163,47.44721612524944,0.013790293152851905
31,15.842803782881665,14.192772788345945,0.0004660010146191213
32,11.474606157568601,7.786231403970034,0.3575919150318061
33,5.379815931523044,1.5274651157855887,0.4429096097413052
34,7.814220530446683,1.2725202429149798,0.8156166045767077
35,24.09400089206066,16.084827472763852,0.18689802301117112
